Untuk tipe periode ""Berulang"", tanggal berakhir harus kelipatan dari jumlah hari. Contoh: tanggal mulai = 2021-05-01, jumlah hari = 10 hari, jika kamu ingin pengaturan ini diulang 2x (3 periode), tanggal berakhir = 2021-05-30.",
23120739572,Tanaman Cemara rentes besar tinggi 120cm up cemara wangi rentes,203764767502,,tbh28jan2023_tbh28jan2023_1318,,99900,,998,0,,,,,
23102568397,Tanaman hias vinca pink,88399541378,,,,14400,,995,0,,,,,
23101811822,Tanaman Hias Melanocrysum,182872810243,,,,67500,,999,0,,,,,
23020738406,Media Tanam (METAN) Organik Siap Pakai 1kg Komplit,193764767212,,tbh30jan2023_3,,5000,,479,0,,,,,
23001811822,Tanaman Hias melati rambusa kondisi berbunga,220084029266,,,,14900,,887,0,,,,,
23001811611,Tanaman Hias Kadaka Variegata / Asplenium Nidus Varigata,202872810186,,,,112500,,997,0,,,,,
22920739728,Bunga potong fresh dekorasi Pikok ungu atau putih isi 20 plus batang,49245179923,,tbh30jan2023_7,,14900,,827,0,,,,,
22620740845,Tanaman standleyana varigata putih 3 daun plus,165508414157,,tbh25jan2023_7,,22500,,999,0,,,,,
22520742252,tanaman hias philodendron verrucosum,193764780552,,tbh25jan2023_8,,76500,,999,0,,,,,
22420742208,Polibag Tanaman Berbagai Ukuran berat perkilo - 15x10,193764776662,30x30,tbh25jan2023_10,tbh25jan2023_14,29900,,996,0,,,,,
22420742208,Polibag Tanaman Berbagai Ukuran berat perkilo - 15x10,193764776663,35x35,,tbh25jan2023_15,29900,,999,,,,,,
22420742208,Polibag Tanaman Berbagai Ukuran berat perkilo - 15x10,193764776664,25x25,,tbh25jan2023_13,29900,,998,,,,,,
22420742208,Polibag Tanaman Berbagai Ukuran berat perkilo - 15x10,193764776665,45x45,,tbh25jan2023_17,29900,,999,,,,,,
22420742208,Polibag Tanaman Berbagai Ukuran berat perkilo - 15x10,183764778838,40x40,,tbh25jan2023_16,29900,,998,,,,,,
22420742208,Polibag Tanaman Berbagai Ukuran berat perkilo - 15x10,183764778839,15x10,,tbh25jan2023_10,29900,,999,,,,,,
22420742208,Polibag Tanaman Berbagai Ukuran berat perkilo - 15x10,193764776660,15x15,,tbh25jan2023_11,29900,,999,,,,,,
22420742208,Polibag Tanaman Berbagai Ukuran berat perkilo - 15x10,193764776661,20x20,,tbh25jan2023_12,29900,,998,,,,,,
22337037057,Tanaman Pandan Hitam,146788689923,,,,16200,,974,0,,,,,
22337037045,Tanaman Herbal Gempur Batu,118045388518,,,,17910,,991,0,,,,,
22337036963,Tanaman anggrek cimbidium coklat totol sudah berbunga.,231412800276,coklat totol,,,95000,,997,0,,,,,
22265277703,"Tanaman Hias Indoor sanseivera dikirim plus pot premium siap menghiasi ruangan anda. Goldflame,golden wendys, golden banner, golden hahnii,dll",128329500280,Gold flame,,,45000,,999,0,,,,,
22265277703,"Tanaman Hias Indoor sanseivera dikirim plus pot premium siap menghiasi ruangan anda. Goldflame,golden wendys, golden banner, golden hahnii,dll",128329500285,Twister,,,50000,,998,,,,,,
22265277703,"Tanaman Hias Indoor sanseivera dikirim plus pot premium siap menghiasi ruangan anda. Goldflame,golden wendys, golden banner, golden hahnii,dll",128329500286,Pagoda rimbun,,,45000,,999,,,,,,
22265277703,"Tanaman Hias Indoor sanseivera dikirim plus pot premium siap menghiasi ruangan anda. Goldflame,golden wendys, golden banner, golden hahnii,dll",128329500282,Golden wendy,,,75000,,999,,,,,,
22265277703,"Tanaman Hias Indoor sanseivera dikirim plus pot premium siap menghiasi ruangan anda. Goldflame,golden wendys, golden banner, golden hahnii,dll",128329500287,Golden hahnii,,,50000,,999,,,,,,
22265277703,"Tanaman Hias Indoor sanseivera dikirim plus pot premium siap menghiasi ruangan anda. Goldflame,golden wendys, golden banner, golden hahnii,dll",128329500288,Golden Philipine,,,65000,,997,,,,,,
22265277703,"Tanaman Hias Indoor sanseivera dikirim plus pot premium siap menghiasi ruangan anda. Goldflame,golden wendys, golden banner, golden hahnii,dll",128329500284,Tsunami,,,50000,,999,,,,,,
22265277703,"Tanaman Hias Indoor sanseivera dikirim plus pot premium siap menghiasi ruangan anda. Goldflame,golden wendys, golden banner, golden hahnii,dll",128329500283,Cream hahnii,,,45000,,999,,,,,,
